,show_title,imdb_rating,release_year,runtime,genre,parental_guideline,imdb_votes,synopsis
237,Ultraman,6.8,2019- ,25,"Animation, Action, Adventure",TV-14,"1,820","Shinjiro Hayata learns that his father passed on the ""Ultraman Factor"" to him and fights against evil."
238,Power Rangers Beast Morphers,6.7,2019-2020,21,"Action, Adventure, Comedy",TV-Y7,571,"Set in the future, a secret agency combines a newly discovered substance called ""Morph-X"" with animal DNA to create the Power Rangers Beast Morphers team."
239,Batgirl: Spoiled,5.7,2012- ,13,Action,,87,"Stephanie Brown has never led a charmed life, but as part of Gothams famed ""Bat Family"" she has thwarted many themed evil-doers and become extremely skilled in her trade. Her world now is ... See full summary »"
240,My Life as a Teenage Robot,6.9,2002-2022,23,"Animation, Action, Adventure",TV-Y,"9,826",The escapades of a super-powered robot who happens to resemble a teenage girl that tries to balance high school and teen problems while trying to save the world from danger.
241,Star Trek: The Animated Series,7.4,1973-1975,30,"Animation, Action, Adventure",TV-Y7,"6,777","The further adventures of Captain James T. Kirk and the crew of the USS Enterprise, as they explore the galaxy and defend the United Federation of Planets."
242,My Hero,6.6,2000-2007,30,"Comedy, Fantasy, Romance",,"1,909","Thermoman is a multiple-powered superhero who originates from the planet Ultron. In an attempt to do his best to fit in with life on earth, he creates the human alias of George Sunday."
243,Sonic X,6.3,2003-2006,30,"Animation, Action, Adventure",TV-Y7,"4,350","A slight malfunction causes Chaos Control, and sends Sonic the Hedgehog to Earth. While there, Sonic meets Chris Thorndyke, who aids at collecting the Chaos Emeralds, so Sonic and friends can go home."
244,NightMan,5.9,1997-1999,45,"Action, Adventure, Drama",TV-14,768,"Based on the comic created by Steve Englehart (who wrote several episodes), Night Man tells the story of Johnny Domino, a jazz musician who gains super powers after getting struck by lightning."
245,The Tick,7.8,2001-2002,23,"Action, Comedy, Sci-Fi",TV-G,"5,285","The story of superhero The Tick, based on the popular comic book."
246,SuperMansion,7.6,2015-2019,30,"Animation, Comedy",TV-14,"1,157","Aging superhero, Titanium Rex, and his has-been team known as The League of Freedom struggle to stay relevant in a changing world."
247,Thunderbirds,7.9,1965-1966,50,"Animation, Action, Adventure",TV-G,"4,363","In the year 2065, the Tracy family run International Rescue - a top-secret organization whose ongoing mission is to rescue people trapped in extraordinarily dangerous situations."
248,Dragon Ball GT,6.8,1996-2003,24,"Animation, Action, Adventure",TV-PG,"26,044","After Goku is made a kid again by the Black Star Dragon Balls, he goes on a journey to get back to his old self."
249,Generator Rex,7.7,2010-2013,24,"Animation, Action, Adventure",TV-PG,"5,494","In a future where humans are infected by untested, microscopic robots, a young man with the ability to control the bots helps a government agency control the tech's vicious creations."
250,Guardians of the Galaxy,7.3,2015-2019,22,"Animation, Action, Adventure",TV-Y7,"3,007",The adventures of a band of space warriors who work to protect the universe from the evil overlord Thanos.
251,Witchblade,6.5,2001-2002,60,"Action, Drama, Fantasy",,"2,606",NYPD Det. Sara Pezzini has a supernatural weapon and abilities to help her fight evil.
252,Power Rangers Samurai,5.1,2011-2012,22,"Action, Adventure, Comedy",TV-Y7,"2,186",Five teenagers inherit samurai powers from ancient Japan to protect the world from an army of monsters.
253,The Green Hornet,7.4,1966-1967,99,"Action, Adventure, Crime",TV-PG,"2,884",A newspaper publisher and his Asian valet/martial arts expert battle crime as the feared Green Hornet and Kato.
254,Æon Flux,7.8,1991-1995,30,"Animation, Adventure, Sci-Fi",TV-MA,"6,176","Æon Flux is a mysterious and amoral secret agent from the country of Monica. Her motives or background are left unexplained, as are those of her antagonist/love, Trevor Goodchild. On her ... See full summary »"
255,Mortal Kombat: Conquest,6.3,1998-1999,40,"Action, Adventure, Fantasy",TV-PG,"4,704","Kung Lao has triumphed in the Mortal Kombat tournament, defeating Shang Tsung and saving Earth Realm. Now, he must train a new generation of warriors for the next tournament."
256,X-Men: Evolution,7.8,2000-2003,23,"Animation, Action, Drama",TV-Y7,"11,650","This rendition of X-Men features Cyclops, Jean Grey, Rogue, Nightcrawler, Shadowcat and Spike as teenagers as they fight for a world that fears and hates them."
257,Man from Atlantis,6.5,1977-1978,60,"Adventure, Fantasy, Sci-Fi",,"2,369","The adventures of an amphibious man, the last survivor of the legendary sunken city."
258,My Secret Identity,7.3,1988-1991,25,"Action, Adventure, Comedy",,"1,307",The adventures of a superpowered teen and his scientist friend.
259,The Tomorrow People,7.3,1973-1979,30,"Drama, Fantasy, Sci-Fi",,709,A group of teens with psychic and other paranormal abilities use their special gifts to battle evil.
260,Captain Planet and the Planeteers,6.7,1990-1996,23,"Animation, Short, Action",TV-Y7,"11,539",A quintet of teenagers work together to encourage environmentally responsible behavior and can summon a superhero to deal with ecological disasters.
261,She-Ra: Princess of Power,6.9,1985-1987,22,"Animation, Action, Adventure",TV-Y7,"6,007","Princess Adora raises her magic sword and becomes She-Ra, the most powerful woman in the universe, to aid her friends in defeating the Evil Horde so their planet Etheria can be free."
262,Thundercats,7.8,2011-2012,32.940366972477065,"Animation, Action, Adventure",TV-PG,"7,023","After his home kingdom is destroyed by the ancient devil priest Mumm-Ra, the young Thundercat Lord Lion-O leads a team of survivors as they fight evil on Third Earth."
263,Static Shock,7.3,2000-2004,30,"Animation, Action, Adventure",TV-Y7,"5,753","In the city of Dakota, a teenage boy with electricity based powers, with the help of his inventive friend, fights crime as a superhero."
264,W.I.T.C.H.,7.3,2004-2006,30,"Animation, Action, Adventure",TV-Y7,"3,520","Five teenage girls learn that they have been chosen to guard the walls between parallel universes. For this purpose, they have been given the powers of the elements."
265,Kung Fu Panda: Legends of Awesomeness,7.1,2011-2016,22,"Animation, Action, Adventure",TV-Y7,"6,159",The further adventures of Po the Dragon Warrior and his friends.
266,RoboCop,5.7,1994,90,"Action, Adventure, Crime",TV-14,"2,408","Alex Murphy is RoboCop, a cybernetic policeman. A creation of a vast corporation, he fights crime and occasional corporate conspiracy in the near-future of Old Detroit."
267,Power Rangers S.P.D.,6.7,2005,22,"Action, Adventure, Sci-Fi",TV-Y7,"3,038","When the Earth is threatened by the evil Troobian empire, the SPD (Space Patrol Delta) police force recruits a team of Power Rangers to help defend the planet."
268,Monkey,8.4,1978-2004,32.940366972477065,"Action, Family, Adventure",,"1,753",An adaptation of a Chinese folktale about a pilgrimage to the West undertaken by a monk and his divine guardians.
269,Fat Albert and the Cosby Kids,6.8,1972-1985,30,"Animation, Comedy, Family",TV-Y7,"2,308",The educational adventures of a group of Afro-American inner city kids.
270,Jonny Quest,7.8,1964-1965,30,"Animation, Action, Adventure",TV-Y7,"4,650",The Quest family and their bodyguard investigate strange phenomena and battle villains around the world.
271,Black Scorpion,6.2,2001,32.940366972477065,"Action, Crime, Drama",TV-PG,507,"The City of Angels is falling apart, and crime pervades the city to the core. The mayor is corrupt, the police are inept, the city needs a figure to take control of the situation. Then in ... See full summary »"
272,Space Ghost Coast to Coast,7.9,1993-2012,15,"Animation, Comedy, Sci-Fi",,"6,980","Space Ghost, a superhero from a 1960s Hanna-Barbara cartoon, hosts his own talk show."
273,Darker Than Black,7.7,2007-2010,24,"Animation, Action, Drama",TV-MA,"11,586","In Tokyo, an impenetrable field known as ""Hell's Gate"" appeared ten years ago. At the same time, psychics who wield paranormal powers at the cost of their conscience also emerged. Hei is ... See full summary »"
275,Wolverine and the X-Men,8,2008-2009,23,"Animation, Action, Adventure",TV-Y7,"10,816","After an explosion at the school, the X-Men went their separate ways. But they must unite once again under the leadership of Wolverine to prevent an inevitable war while also dealing with present problems."
276,Super Friends,7.3,1973-1985,60,"Animation, Action, Adventure",TV-G,"2,426",The greatest of the DC Comics superheroes work together to uphold the good with the help of some young proteges.
277,Power Rangers Dino Charge,6.5,2015-2016,21,"Action, Adventure, Family",TV-Y7,"1,316","On prehistoric Earth, an alien entrusted powerful Energems to 10 dinosaurs, but when the dinosaurs went extinct, the Energems were lost. Now an intergalactic bounty hunter is determined to ... See full summary »"
278,Street Hawk,6.8,1985,60,"Action, Crime, Mystery",TV-PG,"3,193",A desk bound cop secretly fights crime as the test pilot for a prototype combat motorcycle.
279,Thunderbirds Are Go,6.8,2015-2020,22,"Animation, Action, Adventure",TV-G,"1,632","In the future, the Tracy family run a private mechanized emergency response service."
281,Manimal,6.5,1983,60,"Adventure, Crime, Fantasy",TV-PG,"1,937",A man who can change himself into any animal fights crime.
282,Darkwing Duck,7.6,1991-1992,30,"Animation, Action, Adventure",TV-Y7,"15,974",A bumbling superhero battles crime with the help of his daughter and pilot sidekick.
283,Black Dynamite,8.1,2011-2015,22,"Animation, Action, Adventure",TV-MA,"4,409","Action comedy-spoof that follows ex-C. I. A. Agent and full-time ladies man, Black Dynamite, who's out to avenge the death of his brother against kung-fu masters, drug-dealing pimps, and The Man."
284,Power Rangers Lost Galaxy,6.9,1999-2000,30,"Action, Adventure, Family",TV-Y7,"2,321",Power-Packed Adventure! Action-Packed Fun! A time in the future. The space colony Terra Venture journeys beyond Earth in search of new worlds. Peace reigns throughout the cosmos...or does ... See full summary »
285,Spider-Man,7.4,1967-1970,25,"Animation, Action, Adventure",TV-Y7,"3,624","Original cartoon series based on the web-slinging Marvel comic book character, Peter Parker, who, after being bit by a radioactive spider, assumes extraordinary powers."
286,"Harvey Birdman, Attorney at Law",8,2000-2007,15,"Animation, Comedy, Sci-Fi",TV-14,"11,381",Third-rate superhero Harvey Birdman gets a new lease on life when he becomes a lawyer.
287,ReBoot,7.8,1994-2001,30,"Animation, Short, Action",TV-Y7,"5,361","In the inner computer world of Mainframe, a guardian program sprite and his friends defend the system from threats from viruses and the User."
288,Spider-Man,7,2003,21,"Animation, Action, Adventure",TV-PG,"5,281",A young man with spider like abilities fights crime as a superhero in New York City while trying to have a normal personal life.
289,Powerless,6.4,2017,21,"Comedy, Fantasy, Sci-Fi",,"6,925","Follow the staff of an insurance company, specialising in products to protect defenseless bystanders from the collateral damage of Superheroes and Supervillains."
290,"Be Cool, Scooby-Doo!",6.3,2015-2018,23,"Animation, Adventure, Comedy",TV-Y7-FV,"2,180","The Scooby gang continues to solve mysteries during what could be their last summer together, but monsters and ghouls get in the way of completing their adventures."
291,Sonic the Hedgehog,6.8,1993-1994,30,"Animation, Short, Action",TV-Y7-FV,"4,975","In a post-apocalyptic and dystopian future, all life has been challenged by oppression and tyranny, as the evil Dr. Robotnik is on the wake of controlling Mobius."
292,Dungeons & Dragons,8,1983-1985,30,"Animation, Adventure, Comedy",TV-Y7,"5,003","A group of kids are thrown into a fantasy world where they must search for a way home, armed with magic weapons that an evil tyrant wants."
293,Voltron: Defender of the Universe,7.9,1984-1985,24,"Animation, Family, Sci-Fi",TV-Y7,"4,688",This series focuses on five lion robots and their pilots as they fight the evil forces of King Zarkon and Prince Lotor.
294,The Powerpuff Girls,3.4,2016-2019,60,"Animation, Action, Comedy",TV-Y7-FV,"4,147","Made from sugar, spice, everything nice and Chemical X by the Professor; Blossom, Bubbles, and Buttercup now use their superpowers and super cuteness to save the world (or at least Townsville) from evil villains and all things icky."
295,Power Rangers in Space,7.3,1998-1999,30,"Action, Adventure, Family",TV-Y7,"3,168","The most evil forces of the universe (Rita & Zedd, the Machine Empire and Divatox) have formed an alliance with the monarch of all evil, Dark Specter. With Zordon as his prisoner, Dark ... See full summary »"
296,Sailor Moon Crystal,7.9,2014- ,24,"Animation, Action, Adventure",TV-14,"2,076",Usagi Tsukino is chosen to be a guardian of justice and is sent on a quest to locate a Silver Crystal before the Dark Kingdom invades the Earth.
297,The Secrets of Isis,6.8,1975-1976,30,"Adventure, Family, Fantasy",,"1,056",An archaeologist gains an amulet that allows her to transform into the superheroine goddess Isis and fight evil.
298,Lab Rats: Elite Force,6.5,2016-2019,30,"Adventure, Comedy, Drama",TV-Y7,"1,348","When Mighty Med hospital is destroyed, bionic heroes Bree and Chase join superheroes Kaz, Oliver, and Skylar to form an Elite Force and take down those responsible for the attack."
299,Power Rangers Time Force,7.1,2001,30,"Action, Adventure, Crime",TV-Y7,"2,364",The Time Force Power Rangers travel to the past to stop Ransik and his band of criminal mutants.
300,Speed Racer,7.2,1967-1968,30,"Animation, Action, Adventure",TV-Y7,"2,890","Teenager Gô Mifune aspires to be the world's best race-car champion with the help of his friends, family and his father's high-tech race-car, the Mach 5."
301,TRON: Uprising,8.2,2012-2013,30,"Animation, Action, Adventure",TV-Y7,"8,146","In the computer world of the Grid, a young program joins Tron's fight against their world's tyranny."
302,Birdgirl,5.7,2021- ,32.940366972477065,"Animation, Adventure, Comedy",TV-14,696,"After being named CEO of the world's largest and most non-sensical corporation, Sebben & Sebben, Judy Ken Sebben aka Birdgirl has to find a way to maintain her work/superhero life balance."
303,Ghostbusters,6.4,1986-1987,25,"Animation, Adventure, Comedy",TV-Y7,"2,929",A squad of supernatural investigators are Earth's only defense against an evil ghost wizard and his minions.
304,Power Rangers DinoThunder,6.8,2004,30,"Action, Adventure, Sci-Fi",TV-Y7,"3,037","An eccentric scientist and his partner, veteran Power Ranger Dr. Tommy Oliver, have created Dinosaur like robots called Bio Zords. After their laboratory is attacked by the evil Mesogog, ... See full summary »"
305,Iron Man: Armored Adventures,6.5,2008-2012,22,"Animation, Action, Adventure",TV-Y7,"3,481",A teenage Tony Stark battles evil with his revolutionary power armor technology.
306,The New Avengers,7.2,1976-1977,60,"Action, Mystery, Thriller",,"2,310","Secret agent Steed, working for an unnamed branch of British intelligence, is teamed up with two partners to fight evil plots for world domination, dealing with suspended animation, biological warfare, robotics, and other threats."
307,Power Rangers Megaforce,5.7,2000-2014,24,"Action, Adventure, Family",TV-Y7,"1,611",An evil galactic armada has come to destroy the planet Earth and the newest team of Power Rangers must harness powers from Rangers of the past to stop them as the Power Rangers Megaforce.
308,Bionic Woman,5.8,2007,60,"Action, Sci-Fi, Thriller",TV-PG,"8,183",A reimagining of the popular 1970s TV series about a female athlete who is given bionic strength.
309,OK K.O.! Let's Be Heroes,6.4,2017-2019,11,"Animation, Short, Action",TV-Y7-FV,"2,786","An enthusiastic young boy earns a job at a hero supply store and trains to become the ""Greatest Hero Ever."""
310,Constantine: City of Demons,7.6,2018-2019,6,"Animation, Short, Action",R,"5,886",An animated series centering on the adventures of supernatural detective John Constantine.
311,Spider-Man Unlimited,6.4,1999-2005,22,"Animation, Action, Adventure",TV-Y7,"3,255",Spider-Man travels to Counter-Earth to rescue a Terran shuttle crew trapped there and discovers a tyrannical and warped version of his world.
312,The New Scooby-Doo Movies,7.7,1972-1973,83,"Animation, Adventure, Comedy",TV-G,"4,759",The Mystery Inc. gang investigate more supernatural sightings with various guest stars and characters.
313,Ghost in the Shell SAC_2045,6.3,2020- ,25,"Animation, Action, Crime",TV-MA,"1,958","Hired as a mercenary unit, the former members of Japan's elite Section 9 are faced with the sudden appearance of ""Post-Human,"" a being with tremendous intelligence and physical capabilities."
315,Johnny Test,5.2,2005- ,30,"Animation, Action, Adventure",TV-Y7,"8,044","The adventures of average suburban boy Johnny Test, who wittingly plays test subject for his genius twin sisters' various experiments, reluctantly fighting evil villains in the process."
316,Team Umizoomi,6.1,2010-2015,24,"Animation, Family",TV-Y,863,"Umifriend, Team Umizoomi needs your help! Build a super fast speedboat with shapes. Use pattern power to make chocolate and strawberry milk. Fix a broken subway train and so much more with these tiny super heroes!"
317,The Super Mario Bros. Super Show!,6.4,1989,30,"Animation, Action, Adventure",TV-Y7,"4,089","The Mario Brothers, Princess Toadstool, and Toad go on various adventures while battling the evil King Koopa."
318,Danger Mouse,7,2015-2019,22,"Animation, Action, Adventure",TV-Y7,556,The continuing adventures of secret agent Danger Mouse and his sidekick Penfold.
319,Power Rangers R.P.M.,6.6,2009,22,"Action, Adventure, Comedy",TV-Y7,"1,700","In the near future, the mysterious and sinister Venjix Computer Network is attempting to conquer and lay ruin to the entire planet. Mankind has retreated into environmentally-shielded domed... See full summary »"
320,Legends of the Superheroes,5.8,1979,100,"Action, Comedy, Adventure",,526,"A teamup of some of DC Comics' greatest superheroes together, for 2 specials: a race to stop the united supervillains' plot to destroy the earth, then later a roast in tribute to all of the heroes hosted by Ed McMahon."
321,Mad,5.8,2010-2013,12,"Animation, Comedy",TV-PG,"2,877",The animated version of the classic humor magazine satirizes current pop culture.
322,Superhero Kindergarten,7,2021- ,32.940366972477065,"Animation, Action, Family",TV-Y7,201,"A gym coach acquires incredible superpowers from a mysterious comet and becomes Captain Fantastic, one of the earth's greatest protectors. He works 'undercover' as a kindergarten teacher to raise a new generation of super-powered kids."
323,Spider-Man and His Amazing Friends,7.2,1981-1986,22,"Animation, Action, Comedy",TV-Y7,"3,394",Spider-Man battles crime in New York City with the help of Iceman and Firestar.
324,Automan,6.9,1983-1984,70,"Adventure, Comedy, Crime",,"1,836",A computer-generated superhero and his human creator fight crime in the city.
325,The Incredible Hulk,6.8,1996-1998,20,"Animation, Action, Adventure",TV-Y7,"3,233",A nuclear scientist is afflicted with the tendency to change into a powerful green monster under stress.
326,Code Lyoko,7.3,2003-2007,26,"Animation, Action, Adventure",TV-Y7,"5,018","When a group of four boarding school students discover a supercomputer housed inside an abandoned factory, they find a virtual world called Lyoko and awaken a sentient multi-agent system virus that tries to take over the real world."
327,He-Man and the Masters of the Universe,7.5,2002-2004,30,"Animation, Action, Adventure",TV-Y7,"3,249","On the planet Eternia, a young prince gains the ability to become a powerful warrior to defend Castle Grayskull against the dark lord Skeletor."
328,The Tick,7.8,1994-1997,30,"Animation, Action, Adventure",TV-Y7,"9,455","An invulnerable, somewhat dim, superhero protects The City from all manner of evil-doers."
329,MASK,7.2,1985-1986,22,"Animation, Action, Adventure",TV-Y7,"4,119",Matt Trakker leads a special team of masked crime fighters with a fleet of hidden function vehicles against Miles Mayhem and his criminal organization known as V.E.N.O.M.
330,The Sentinel,6.6,1996-1999,45,"Action, Adventure, Crime",,"2,333","In the jungles of Peru, the fight for survival heightened his senses. Now, Detective Jim Ellison is a sentinel in the fight for justice. Anthropologist Blair Sandburg works side by side with Jim, helping him develop these senses."
331,Spider Man,6.4,1978-1979,30,"Action, Adventure, Family",TV-PG,497,Motorcyclist Takuya Yamashiro fights the evil forces of Professor Monster as the superhero Spiderman.
332,Power Rangers Zeo,6.6,1996-1997,21,"Action, Adventure, Family",TV-Y7,"2,676","Tommy, Billy, Adam, Rocky, Kat and Tanya are turned back to their teenage forms thanks to the Zeo Crystal. The Command Center is gone but the crystal leads them to the new Power Chamber and all but Billy take on new Zeo powers."
333,Misfits of Science,7.4,1985-1986,60,"Adventure, Comedy, Sci-Fi",,"1,067",The adventures of a team of misfit superheroes who fight crime for a scientific think tank.
334,The Master,4.5,1984,60,"Adventure, Drama, Action",,"1,406",An aging American ninja master and his headstrong young apprentice search for the elder man's daughter.
335,The Cape,5.8,2011,60,"Action, Drama",TV-14,"8,439","Vince Faraday is a cop who has been framed for murder, leading him to fall off the grid and become the super hero known only as ""The Cape."""
336,Power Rangers Jungle Fury,6.6,2008,22,"Action, Adventure, Drama",TV-Y7,"1,717",Three teenagers from the Pai Zhug Kung Fu Academy are chosen to fight the forces of an opposing academy and all other forces of evil.
337,Power Rangers Mystic Force,6.7,2006,22,"Action, Adventure, Family",TV-Y7,"2,608","Legend says when the darkness arises, five brave teen sorcerers will be called to fight for the planet's survival - with the guidance from their wise mentor and the ancient Xenotome, book ... See full summary »"
338,Power Rangers Wild Force,6.3,2002-2003,30,"Action, Adventure, Drama",TV-Y7,"2,379","Five teenagers are chosen by five Power Animals to become the Wild Force Rangers, to fight the evil Jinderax and Toxica and their evil Orgs."
339,Power Rangers Ninja Storm,6.4,2003-2004,30,"Action, Adventure, Family",TV-Y7,"2,517",A trio of ninja trainees become Power Rangers to defend their school after it is attacked by aliens.
340,Werewolf,8,1987-1988,30,"Horror, Thriller",,878,"Young Eric has been bitten by a werewolf. However, he's not particularly thrilled by this turn of affairs and wishes to escape his curse. To do so, he must find and kill the founder of his ... See full summary »"
341,The Champions,7.6,1968-1969,60,"Adventure, Sci-Fi, Thriller",,"1,195","After a plane carrying three UN Agents crashes in the Himalayas, they are rescued by an advanced civilisation secretly living in Tibet who grant them enhanced versions of the ordinary five senses, and intellectual and physical abilities."
342,The Awesomes,7.3,2013-2015,23,"Animation, Action, Comedy",TV-14,"1,429","After the legendary Mr. Awesome retires as leader of his superhero task force, his not-so-super son Prock must assemble a team of funny-if-flawed misfits to restore the group to its former glory."
343,Iron Man,6.7,1994-1996,30,"Animation, Action, Adventure",TV-Y7,"3,212",Industrialist Tony Stark leads his private team of superheros as Iron Man against the forces of evil.
344,Beware the Batman,7.3,2013-2014,22,"Animation, Action, Adventure",TV-PG,"4,176","Batman, a crime-fighting vigilante of Gotham City, goes up against the underworld."
345,Electra Woman and Dyna Girl,6.8,1976,24,Sci-Fi,,434,The adventures of two female superheroes.
