,show_title,imdb_rating,release_year,runtime,genre,parental_guideline,imdb_votes,synopsis
129,Cloak & Dagger,6.7,2018-2019,44,"Action, Adventure, Drama",TV-14,"19,617",Two teenagers from very different backgrounds find themselves burdened and awakened to newly acquired superpowers while growing closer together every day.
130,Ben 10: Alien Force,7.3,2008-2010,22,"Animation, Action, Adventure",TV-Y7,"9,345","Fifteen-year-old Ben Tennyson must utilize the Omnitrix yet again in order to locate his missing Grandpa Max, accompanied by his cousin Gwen and former enemy Kevin 11."
131,Adventures of Superman,7.7,1952-1958,30,"Action, Adventure, Crime",TV-G,"3,815",The Man of Steel fights crime with help from his friends at the Daily Planet.
132,The Venture Bros.,8.5,2003-2018,22,"Animation, Action, Adventure",TV-MA,"25,294","The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons."
133,"Scooby Doo, Where Are You!",7.9,1969-1970,22,"Animation, Adventure, Comedy",TV-G,"33,455","A group of teenage friends and their Great Dane (Scooby-Doo) travel in a bright green van solving strange and hilarious mysteries, while returning from or going to a regular teenage function."
134,Shaktimaan,8.2,1997-2005,60,"Action, Adventure, Family",Not Rated,"4,728","When darkness get strengthened to destroy the world, Suryanshis chose Shaktimaan in order to fight against the forces of evil."
135,Ultimate Spider-Man,7.2,2012-2017,23,"Animation, Action, Adventure",TV-Y7,"11,838",Spider-Man battles evil with a new team of teen colleagues and training from S.H.I.E.L.D.
136,Trollhunters: Tales of Arcadia,8.4,2016-2018,23,"Animation, Action, Adventure",TV-Y7,"16,219","An ordinary boy finds a magic amulet that chooses him to be a Trollhunter, a guardian that defends the world of humans and the secret world of trolls."
138,Ben 10: Omniverse,6.1,2012-2014,22,"Animation, Action, Adventure",TV-Y7,"4,702","The continuing adventures of Ben Tennyson (Yuri Lowenthal) and his new partner, Rook Blonko (Bumper Robinson)."
139,Krypton,6.9,2018-2019,45,"Action, Adventure, Drama",TV-14,"16,301",The untold story of Superman's grandfather as he fights for justice on his home planet.
140,Star vs. the Forces of Evil,7.8,2015-2019,22,"Animation, Action, Adventure",TV-Y7,"13,711","Star Butterfly arrives on Earth to live with the Diazes, a Mexican-American family. She continues to battle villains throughout the universe and high school, mainly to protect her extremely powerful wand, an object that still confuses her."
141,Ben 10: Ultimate Alien,7.7,2010-2012,22,"Animation, Action, Adventure",TV-Y7,"7,039","With his secret identity now revealed to the world, Ben Tennyson continues to fight evil as a superhero with the help of the newly acquired Ultimatrix."
142,The Batman,7.3,2004-2008,22,"Animation, Action, Adventure",TV-Y7,"11,275",Billionaire Bruce Wayne fights crime and evil as the mysterious Batman.
143,Kim Possible,7.2,2002-2007,30,"Animation, Action, Adventure",TV-G,"26,597",A high school cheerleader and her accident-prone best friend balance their duties as global crime-fighters with the typical challenges of adolescence.
144,Spidey and His Amazing Friends,6.1,2021- ,22,"Animation, Action, Adventure",TV-Y7,322,"Follow Peter Parker, Gwen Stacy, and Miles Morales and their adventures as the young heroes team up with Hulk, Ms. Marvel, and Black Panther to take down foes like Rhino, Doc Oock, and Green Goblin."
145,Scooby-Doo! Mystery Incorporated,8,2010-2013,23,"Animation, Adventure, Comedy",TV-Y7-FV,"11,200","Scooby-Doo and the gang attempt to solve creepy mysteries in the town of Crystal Cove, a place with a history of eerie supernatural events."
146,The Real Ghostbusters,7.6,1986-1991,23,"Animation, Action, Comedy",TV-Y7,"9,672",The continuing adventures of the staff of the ghost removal service.
147,Gargoyles,8.1,1994-1996,30,"Animation, Action, Adventure",TV-Y7,"15,997",A clan of heroic night creatures pledge to protect modern New York City as they did in Scotland one thousand years earlier.
148,Aqua Teen Hunger Force,7.6,2000-2015,15,"Animation, Comedy",TV-MA,"24,562","The misadventures of a milkshake, an order of fries, a meatball, and their retired next door neighbor in the suburbs of New Jersey."
149,Ninjago: Masters of Spinjitzu,7.3,2011-2019,30,"Animation, Action, Adventure",TV-Y7,"4,169","When the fate of their world, Ninjago, is challenged by great threats, it's up to the ninja: Kai, Jay, Cole, Zane, Lloyd and Nya to save the world."
150,Teenage Mutant Ninja Turtles,7.8,2003-2010,30,"Animation, Action, Adventure",TV-Y7,"9,908",The continuing adventures of a quartet of turtle superheroes.
151,The Spectacular Spider-Man,8.3,2008-2009,23,"Animation, Action, Adventure",TV-Y7,"13,613","An animated television show that focuses on a sixteen-year-old Peter Parker, and the origins of Spider-Man."
152,The Powerpuff Girls,7.3,1998-2005,30,"Animation, Action, Adventure",TV-Y7-FV,"40,899","Three super-powered little girls constantly save the world (or at least the city of Townsville) from monsters, would-be conquerers and a few other gross things."
153,The New Batman Adventures,8.5,1997-1999,30,"Animation, Action, Adventure",TV-PG,"16,638","The further and darker adventures of Batman with a new Robin, a closer association with Batgirl and the previous Robin now as Nightwing."
154,Kid Cosmic,7.9,2021-2022,25,"Animation, Short, Action",TV-Y7,"1,282","A young boy who dreams of becoming a hero, stumbles across some cosmic stones of power. His dreams appear to have come true."
155,Lab Rats,6.6,2012-2016,22,"Action, Comedy, Drama",TV-Y7,"5,719","A scrawny 14-year-old, having discovered his inventor stepdad has three bionic, super-powered teens living cloistered in a secret lab beneath their home, brings them out into the world."
156,He-Man and the Masters of the Universe,6,2021-2022,26,"Animation, Action, Adventure",TV-Y7,"1,440","Eternia's Prince Adam discovers the power of Grayskull and transforms into He-Man, Master of the Universe. A reimagining of the classic animated series."
157,Resident Evil: Infinite Darkness,5.8,2021- ,26,"Animation, Action, Horror",TV-MA,"9,527",Federal agent Leon S. Kennedy teams up with TerraSave staff member Claire Redfield to investigate a zombie outbreak. Based on the popular video game series of the same name by Capcom.
158,Superman: The Animated Series,8.1,1996-2000,30,"Animation, Action, Adventure",TV-PG,"15,309",The last son of the planet Krypton protects his adoptive home of Earth as the greatest of the superheroes.
159,Mod Squad,6.9,1968-1973,60,"Action, Crime, Drama",TV-PG,"1,979",A trio of reformed juvenile delinquents work as undercover cops.
160,Spider-Man,6.2,2017-2020,44,"Animation, Action, Adventure",TV-Y7,"2,386","Peter Parker, a new student at the famous Horizon High, fights evil super-villains as the costumed superhero, Spider-Man."
