,show_title,imdb_rating,release_year,runtime,genre,parental_guideline,imdb_votes,synopsis
483,Voltron Force,6.9,2011-2012,30,"Animation, Sci-Fi",TV-Y7,511,The further adventures of the pilots of the Voltron lions with a new generation of cadets training to help them.
484,Kamen Rider Zero-One,8,2019-2020,24,"Action, Adventure, Comedy",TV-PG,302,"A young self-proclaimed comedian, Aruto Hiden, finds himself inheriting his late grandfather's technology company and the Zero-One Driver to becomes Kamen Rider Zero-One and a hero to humanity."
485,The New Adventures of Batman,7.1,1977-1978,30,"Animation, Action, Adventure",,"1,142","Batman, Robin and Batgirl fight crime in Gotham City with the ""help"" of Batmite."
486,Monster Squad,7.7,1976,30,"Adventure, Family, Horror",,208,"When trouble arises, three monster wax figures come to life to battle evil."
487,The Adventures of Super Mario Bros. 3,7.3,1990,11,"Animation, Adventure, Comedy",TV-Y7,"1,507","Join Mario, and Luigi in 26 action packed adventures based on the classic NES video game."
488,Mighty Magiswords,4.4,2015-2018,3,"Animation, Short, Action",TV-Y7,"1,254","Two clumsy siblings search for legendary Magiswords to aid them in their ""Warriors for Hire"" business."
489,Fantastic Four,6.7,1967-1968,30,"Animation, Action, Adventure",TV-Y7-FV,"1,397",Four costumed superheroes battle the world's most terrifying villains.
490,World of Winx,6.8,2016-2017,30,"Animation, Action, Comedy",TV-Y7,700,The Winx travel all over the world searching for talent for WOW. and preventing the mysterious talent thief from kidnapping them.
491,Uncanny X-Men,7,2012-2018,,Action,,76,A low-budget adaptation of the popular superhero comic book series.
492,MegaMan: NT Warrior,6.9,2001-2005,25,"Animation, Action, Adventure",TV-Y7,869,Lan Hikari and his virtual buddy Megaman travel around Den Tech City stopping the evil forces of World Three.
493,Super Drags,5.4,2018,30,"Animation, Comedy, Fantasy",TV-MA,"1,588","Three gay co-workers at a department store lead double lives as superhero drag queens, fighting crime and other forces like an evil drag queen and a conservative politician."
494,Timecop,6.5,1997-1998,60,"Action, Adventure, Crime",,610,"Jack Logan is a time traveler from 2007, who hunts down rogue travelers and brings them to justice before they can alter the past."
495,Hamster & Gretel,Not-Rated,TBA,,"Animation, Action, Adventure",TV-Y7,,"Follows Gretel and her pet Hamster after receiving new abilities. Now, protective older brother Kevin must figure out how to work with both Gretel and her pet to protect their city from mysterious dangers."
496,Visionaries: Knights of the Magical Light,7.8,1987,30,"Animation, Action, Adventure",,"1,086",The planet Prysmos - post-technological loss. Two groups rise to dominance from the devastation to wage war upon each other. One is controlled by honest and law-abiding people and the other... See full summary »
497,Captain N: The Game Master,6.4,1989-1991,25,"Animation, Action, Adventure",TV-Y7,"1,172","Kevin, a teenage gamer and his friends fight to save Videoland from the evil Mother Brain."
498,Untitled Wakanda Project,Not-Rated,TBA,,"Action, Adventure, Sci-Fi",,,Plot under wraps.
499,Tiger & Bunny,7.3,2011- ,25,"Animation, Action, Adventure",TV-14,915,"In a world where superheroes have corporate sponsors and are the stars of their own reality TV show, a new superhero team is born as the veteran hero Wild Tiger is assigned to be partners with rookie Barnaby Brooks Jr."
500,Mr. Terrific,6.9,1966-1967,30,Comedy,,213,"Stanley Beamish, the weakling proprietor of a Washington gas station, is also a top-secret super agent. When the Government's Bureau of Special Projects needs Stanley, he takes a pill that ... See full summary »"
501,Mighty Max,7.8,1993-1995,30,"Animation, Action, Adventure",TV-Y7,"1,851","Max (Rob Paulsen), a twelve-year-old boy, finds a magical cap that can teleport him across dimensions."
502,Smile PreCure!,6.6,2012-2013,24,"Animation, Action, Adventure",TV-PG,377,"Once upon a time, there was a kingdom of fairy tales called ""Märchenland"", where many fairy tale characters live together in joy. Suddenly, the evil emperor Pierrot made an invasion on ... See full summary »"
503,El Chapulín Colorado,8.5,1973-1979,25,"Comedy, Family, Fantasy",TV-PG,"3,475",An accident-prone superhero seems to cause more problems than the villains he faces.
504,Painkiller Jane,5.9,2007,44,"Action, Sci-Fi",,"3,029",Jane Vasco is a DEA agent recruited by a covert government agency that hunts genetically enhanced individuals. She discovers that she can heal rapidly from any injury and begins to investigate the source of her powers.
505,Shaggy & Scooby-Doo Get a Clue!,4.6,2006-2008,,"Animation, Action, Adventure",TV-Y7,917,"Adventures of Mystery, Inc. members Shaggy and Scooby-Doo as they solve various crimes around the world with the help of inherited cash and inventions from Shaggy's missing uncle."
506,Kikai Sentai Zenkaiger,7.6,2021-2022,25,"Action, Adventure, Comedy",TV-PG,63,"When an all-powerful enemy appears to destroy all parallel worlds, a hero with the spirit of all Super Sentai will rise to fight back. Transforming into ZenKaizer, he joins forces with four... See full summary »"
507,Birdman,6.8,1967-1987,30,"Animation, Action, Adventure",TV-G,981,A winged superhero who gets his powers from the sun battles various evildoers with the help of his eagle sidekick Avenger.
508,Kappa Mikey,6.6,2006-2008,22,"Animation, Adventure, Comedy",TV-Y7,"1,113","Parody of Japanese anime, featuring a guy named Mikey who travels to Japan to star in an anime, where he discovers his new co-stars are all basically walking anime clichés."
509,Loonatics Unleashed,5.6,2005-2007,30,"Animation, Action, Adventure",TV-Y7,976,The futuristic descendants of the Looney Tunes characters become superheroes when the aftershock of an alien meteor grants them each with strange new powers.
510,Shaktimaan Animated,7.3,2011-2013,,"Animation, Action, Family",,50,"Vehaan Arya, a young college student with yogic superpowers, is forced to leave the Himalayas and become Shaktimaan in order to stop Kilvish from wreaking global havoc."
511,Marvel Anime,6.9,2010-2011,,"Animation, Sci-Fi",,295,"Series from Marvel set more to the environment of Anime than typical American fare. Plenty of lengthy dialog, emotion and angst to go around, as well as grossly-mutating monsters to please the most demanding anime fans."
512,The Life and Times of Juniper Lee,6.5,2005-2007,30,"Animation, Action, Adventure",TV-Y7-FV,"2,756",Juniper Lee is an 11 year old girl who can fight the force of chaos and curses. One day she skipped one of her friends' birthdays and fights the chaos again.
513,Bananaman,6.7,1983-1986,5,"Animation, Comedy, Family",,"1,660","Stupid, but well-meaning and super-strong super-hero, Bananaman gets his strength from eating bananas. Before he eats a banana, Bananaman is a young boy called Eric who is keen to keep his ... See full summary »"
514,Iron Man,6.4,2010,25,"Animation, Action, Sci-Fi",TV-14,"1,255","When Tony Stark branches his company into Japan, he is opposed by the nefarious Zodiac organization. It's up to Stark's Iron Man to defeat the Zodiac, and defend Japan."
515,Quick Draw McGraw,6.8,1959-1962,30,"Animation, Comedy, Family",TV-G,"1,881","Quick Draw Mcgraw was a dimwitted and lanky mustang (horse) who caused much chaos in the Old West. If he could get his own six shooter out of his holster at all, he would usually shoot the ... See full summary »"
516,The Herculoids,7.4,1967-1969,10,"Animation, Adventure, Sci-Fi",TV-Y7,"1,123",King Zandor and a group of bizarre creatures protect their futuristic kingdom from creatures from other galaxies.
